Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Cluster
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,"tanjirō kamado, joined with inosuke hashibira, a boy raised by boars who wears a boar's head, and zenitsu agatsuma, a scared boy who reveals his true power when he sleeps, boards the infinity train on a new mission with the fire hashira, kyōjurō rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",845.992,2224,8.4,ja,animation,-1
Ghostbusters: Afterlife,"when a single mom and her two kids arrive in a small town, they begin to discover their connection to the original ghostbusters and the secret legacy their grandfather left behind.",839.904,2225,7.7,en,fantasy,-1
The 355,"a group of top female agents from american, british, chinese, columbian and german  government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos.",781.748,313,6.1,en,action,-1
Shang-Chi and the Legend of the Ten Rings,shang-chi must confront the past he thought he left behind when he is drawn into the web of the mysterious ten rings organization.,769.185,5845,7.7,en,action,-1
Marry Me,"music superstars kat valdez and bastian are getting married before a global audience of fans. but when kat learns, seconds before her vows, that bastian has been unfaithful, she decides to marry charlie, a stranger in the crowd, instead.",761.793,230,6.9,en,romance,-1
The Hunting,"when a mysterious animal attack leaves a mutilated body in the forest, a conservative small town detective must enlist the help of an eager wildlife specialist to uncover the dark and disturbing truth that threatens the town.",761.127,10,5.8,en,horror,-1
West Side Story,"two youngsters from rival new york city gangs fall in love, but tensions between their respective friends build toward tragedy.",678.186,562,7.4,en,drama,-1
Through My Window,"raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.",659.105,1331,7.8,es,romance,-1
The Seven Deadly Sins: Cursed by Light,"with the help of the ""dragon sin of wrath"" meliodas and the worst rebels in history, the seven deadly sins, the ""holy war"", in which four races, including humans, goddesses, fairies and giants fought against the demons, is finally over. at the cost of the ""lion sin of pride"" escanor's life, the demon king was defeated and the world regained peace. after that, each of the sins take their own path.",647.54,312,8.0,ja,animation,-1
One Shot,"an elite squad of navy seals, on a covert mission to transport a prisoner off a cia black site island prison, are trapped when insurgents attack while trying to rescue the same prisoner.",622.24,382,6.8,en,action,-1
Tom and Jerry: Cowboy Up!,"this time, the rivals team up to help a cowgirl and her brother save their homestead from a greedy land-grabber, and they’re going to need some help! jerry’s three precocious nephews are all ready for action, and tom is rounding up a posse of prairie dogs. but can a ragtag band of varmints defeat a deceitful desperado determined to deceive a damsel in distress? no matter what happens with tom and jerry in the saddle, it’ll be a rootin’ tootin’ good time!",614.11,163,7.1,en,animation,-1
Chernobyl: Abyss,the aftermath of a shocking explosion at the chernobyl nuclear power station made hundreds of people sacrifice their lives to clean up the site of the catastrophe and to successfully prevent an even bigger disaster that could have turned a large part of the european continent into an uninhabitable exclusion zone. this is their story.,601.958,314,6.2,ru,drama,-1
Desperate Riders,"after kansas red rescues young billy from a card-game shootout, the boy asks red for help protecting his family from the outlaw thorn, who’s just kidnapped billy’s mother, carol. as red and billy ride off to rescue carol, they run into beautiful, tough-as-nails leslie, who’s managed to escape thorn’s men. the three race to stop thorn’s wedding to carol with guns a-blazing - but does she want to be rescued?",590.474,10,6.8,en,western,-1
