Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Cluster
Catch Me If You Can,"a true story about frank abagnale jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a pan am pilot, doctor, and legal prosecutor. an fbi agent makes it his mission to put him behind bars. but frank not only eludes capture, he revels in the pursuit.",50.341,12227,8.0,en,drama,9
Undisputed,"monroe hutchens is the heavyweight champion of sweetwater, a maximum security prison. he was convicted to a life sentence due to a passionate crime. iceman chambers is the heavyweight champion, who lost his title due to a rape conviction to ten years in sweetwater. when these two giants collide in the same prison, they fight against each other disputing who is the real champion.",50.314,526,6.5,en,action,6
Empire State,"after failing to get into the police academy, chris potamitis settles for a security guard job with an armoured truck company. after he makes the mistake of mentioning the company's lax security to his best friend, he's unwittingly drawn into an elaborate scheme to rob the abundant amounts of cash being stored on their premises—resulting in the largest cash heist in u.s.history.",50.286,545,5.3,en,action,6
Hostel: Part II,"three american college students studying abroad are lured to a slovakian hostel, and discover the grim reality behind it.",50.259,1540,5.8,en,horror,0
10.0 Earthquake,"los angeles is about to be hit by a devastating earthquake, and time is running out to save the city from imminent danger.",50.233,87,4.9,en,drama,9
A Walk to Remember,"when the popular, restless landon carter is forced to participate in the school drama production he falls in love with jamie sullivan, the daughter of the town's minister. jamie has a ""to-do"" list for her life and also a very big secret she must keep from landon.",50.217,3453,7.7,en,drama,9
Hellboy II: The Golden Army,hellboy must stop an elven prince from locating an ancient force that can destroy humanity: the all-powerful golden army.,50.211,4207,6.7,en,action,6
Funny People,"famous and wealthy funnyman george simmons doesn't give much thought to how he treats people until a doctor delivers stunning health news, forcing george to reevaluate his priorities with a little help from aspiring stand-up comic ira.",50.176,1014,5.8,en,comedy,11
Dragon Ball: Episode of Bardock,"a spin-off scenario taking place after the events of the tv special dragon ball z: bardock - the father of goku, in which bardock survives the destruction of planet vegeta and is sent into the past, combating frieza's ancestor chilled and turning into a super saiyan.",50.149,303,6.8,ja,action,13
Akira,a secret military project endangers neo-tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.,50.144,3022,8.0,ja,animation,-1
Minions: The Rise of Gru,"a fanboy of a supervillain supergroup known as the vicious 6, gru hatches a plan to become evil enough to join them, with the backup of his followers, the minions.",50.118,0,0.0,en,family,-1
The Ugly Truth,"a romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help her find love. his clever ploys, however, lead to an unexpected result.",50.063,2938,6.5,en,comedy,11
The Cat in the Hat,"conrad and sally walden are home alone with their pet fish. it is raining outside, and there is nothing to do. until the cat in the hat walks in the front door. he introduces them to their imagination, and at first it's all fun and games, until things get out of hand, and the cat must go, go, go, before their parents get back.",50.026,1288,5.3,en,comedy,11
Virgin Territory,"the film is set in tuscany during the black death. as in the decameron, ten young florentines take refuge from the plague. but instead of telling stories, they have lusty adventures, bawdy exchanges, romance and swordplay. there are randy nuns, saracen pirates, and a sexy cow.",49.99,234,4.5,en,adventure,7
(500) Days of Summer,"tom, greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, summer, suddenly dumps him. he reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, tom rediscovers his true passions in life.",49.96,8198,7.3,en,comedy,11
Disobedience,"a woman learns about the death of her orthodox jewish father, a rabbi. she returns home and has romantic feelings rekindled for her best childhood friend, who is now married to her cousin.",49.958,902,6.9,en,drama,9
The Protector,"in bangkok, the young kham was raised by his father in the jungle with elephants as members of their family. when his old elephant and the baby kern are stolen by criminals, kham finds that the animals were sent to sidney. he travels to australia, where he locates the baby elephant in a restaurant owned by the evil madame rose, the leader of an international thai mafia. with the support of the efficient thai sergeant mark, who was involved in a conspiracy, kham fights to rescue the animal from the mobsters.",49.915,620,7.1,th,action,-1
Project Almanac,"a group of teens discover secret plans of a time machine, and construct one. however, things start to get out of control.",49.903,2081,6.6,en,science fiction,12
Respect,the rise of aretha franklin’s career from a child singing in her father’s church’s choir to her international superstardom.,49.887,178,6.7,en,music,39
Fences,"in 1950s pittsburgh, a frustrated african-american father struggles with the constraints of poverty, racism, and his own inner demons as he tries to raise a family.",49.837,2137,6.8,en,drama,9
Midway,"the story of the battle of midway, and the leaders and soldiers who used their instincts, fortitude and bravery to overcome massive odds.",49.811,1808,7.1,en,war,40
Leatherface,"a young nurse is kidnapped by a group of violent teens who escape from a mental hospital and take her on the road trip from hell. pursued by an equally deranged lawman out for revenge, one of the teens is destined for tragedy and horrors that will destroy his mind, moulding him into a monster named leatherface.",49.774,971,5.5,en,horror,0
Castle in the Sky,a young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,49.745,3097,8.0,ja,adventure,-1
The Next Three Days,"a married couple's life is turned upside down when the wife is accused of murdering her boss. her husband john would spend the next few years trying to get her released, but there's no evidence that negates the evidence against her. when the strain of being separated from her husband and son gets to her, john decides to find a way to break her out.",49.733,2311,7.1,en,romance,19
Twilight,"hakubo tells the story of two young people who live in rural fukushima: sachi koyama, a girl who excels at playing the violin, and yuusuke kijinami, a boy who loves to paint. after an awkward, chance encounter, the two meet and begin to fall in love, but yuusuke is still living in the shadow of the 2011 tohoku earthquake and tsunami.",49.714,15,6.5,ja,animation,3
John and the Hole,"while exploring the neighboring woods, 13-year-old john discovers an unfinished bunker — a deep hole in the ground. seemingly without provocation, he drugs his affluent parents and older sister and drags their unconscious bodies into the bunker, where he holds them captive. as they anxiously wait for john to free them from the hole, the boy returns home, where he can finally do what he wants.",49.709,28,6.1,en,thriller,8
Fireproof,"caleb holt, a heroic fire captain who values dedication and service to others above all else. but the most important partnership in his life, his marriage, is about to go up in smoke. this gripping story follows one man's desire to transform his life and marriage through the healing power of faith and fully embrace the fireman's code: ""never leave your partner behind.""",49.679,503,7.4,en,drama,9
Paul Blart: Mall Cop,"mild-mannered paul blart has always had huge dreams of becoming a state trooper. until then, he patrols the local mall as a security guard. with his closely cropped moustache, personal transporter and gung-ho attitude, only blart seems to take his job seriously. all that changes when a team of thugs raids the mall and takes hostages. untrained, unarmed and a super-size target, blart has to become a real cop to save the day.",49.675,2017,5.4,en,action,6
Spy Kids 3-D: Game Over,"carmen's caught in a virtual reality game designed by the kids' new nemesis, the toymaker. it's up to juni to save his sister, and ultimately the world.",49.656,1764,5.1,en,action,6
The Ogglies: Welcome to Smelliville,"the oggly family arrive at the municipal rubbish dump of smelliville and must look for a new home, but they never feel really welcome anywhere. they stink and are for most humans just a tad too oggly. when firebottom, the family dragon, crash-lands on the run-down rubbish tip of the small town of smelliville, the ogglies at once feel at home. and it's here they want to stay.",49.618,43,7.3,en,animation,5
"Diego, The Last Goodbye","the last year in the life of diego maradona told by friends, family and former companions reveals his deep humanity. in the midst of the covid 19 pandemic, a maradonian funeral sends him away amid tears, songs and tear gas.",49.606,2,6.0,es,documentary,-1
Barbie of Swan Lake,"barbie as odette, the young daughter of a baker, follows a unicorn into the enchanted forest and is transformed into a swan by an evil wizard intent on defeating the fairy queen.",49.588,898,7.0,en,animation,5
Dragons: Dawn Of The Dragon Racers,a hunt for a lost sheep turns into a competition between hiccup and friends as they compete to become the first dragon racing champion of berk.,49.56,265,7.2,en,animation,5
Fearless,"huo yuan jia became the most famous martial arts fighter in all of china at the turn of the 20th century. huo faced personal tragedy but ultimately fought his way out of darkness, defining the true spirit of martial arts and also inspiring his nation. the son of a great fighter who didn't wish for his child to follow in his footsteps, huo resolves to teach himself how to fight - and win.",49.521,971,7.5,zh,drama,41
The Fourth Musketeer,"at the behest of his father, young d'artagnan travels from rural gascony to paris, where he becomes embroiled in a devious plot between the king's musketeers and the guardsmen of cardinal richelieu.",49.462,1,6.0,en,action,6
Shaolin Soccer,a young shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.,49.401,1633,7.0,cn,action,42
Chinese Zodiac,"asian hawk (jackie chan) leads a mercenary team to recover several lost artifacts from the old summer palace, the bronze heads of the 12 chinese zodiac animals which were sacked by the french and british armies from the imperial summer palace in beijing in 1860. assisted by a chinese student & a parisian lady, hawk stops at nothing to accomplish the mission.",49.395,630,6.2,cn,action,42
Halloween,"jamie lee curtis returns to her iconic role as laurie strode, who comes to her final confrontation with michael myers, the masked figure who has haunted her since she narrowly escaped his killing spree on halloween night four decades ago.",49.34,3748,6.5,en,horror,0
The Forgotten Battle,"november 1944. on the flooded isle of walcheren, zeeland, thousands of allied soldiers are battling the german army. three young lives become inextricably connected. a dutch boy fighting for the germans, an english glider pilot and a girl from zeeland connected to the resistance against her will, are forced to make crucial choices that impact both their own freedom and the freedom of others.",49.317,359,7.2,nl,war,-1
The Hunchback of Notre Dame,"at the urging of his gargoyle pals, quasimodo leaves the solitary safety of his notre dame tower against the wishes of his guardian, the evil judge claude frollo. he ventures out to the festival of fools and finds his first true friend, a romani woman named esmeralda, who entrusts him with a secret. when the secret is revealed, quasi soon finds himself fighting to save the people and city he loves.",49.284,4118,7.1,en,drama,9
Scandalous Sex,"a daughter seeks to restore the reputation of her disgraced father, a wronged college professor. with help of a professional student, she must overcome an ambitious sorority bitch and corrupt college dean.",49.273,77,7.2,en,drama,9
Tower Heist,"a luxury condo manager leads a staff of workers to seek payback on the wall street swindler who defrauded them. with only days until the billionaire gets away with the perfect crime, the unlikely crew of amateur thieves enlists the help of petty crook slide to steal the $20 million they’re sure is hidden in the penthouse.",49.227,2385,6.0,en,action,6
Princess Mononoke,"ashitaka, a prince of the disappearing emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. along the way, he encounters san, a young human woman fighting to protect the forest, and lady eboshi, who is trying to destroy it. ashitaka must find a way to bring balance to this conflict.",49.163,6148,8.4,ja,adventure,-1
Pet Sematary,"dr. louis creed and his wife, rachel, move from boston to ludlow, in rural maine, with their two young children. hidden in the woods near the new family home, ellie, their eldest daughter, discovers a mysterious cemetery where the pets of community members are buried.",49.148,2643,5.7,en,horror,0
Don't Listen,"after the strange death of his young son at their new home, daniel hears a ghostly plea for help, spurring him to seek out a renowned paranormal expert.",49.134,561,6.5,es,drama,20
The Addams Family,"when a man claiming to be long-lost uncle fester reappears after 25 years lost, the family plans a celebration to wake the dead. but the kids barely have time to warm up the electric chair before morticia begins to suspect fester is fraud when he can't recall any of the details of fester's life.",49.114,3545,7.0,en,comedy,11
Kids Are Back,"catherine and yann, happily married for many years, should have spent the year travelling abroad. but since he sold his business, yann has been too busy with his bonsai trees and keeps postponing the big trip. things go from bad to worse when their 27-year-old broke daughter and her boyfriend lose their apartment and come knocking on the door to stay. with yann’s mid-life crisis spinning out of control, their couch surfing daughter and partner getting increasingly invasive and their stay becoming indefinite, catherine will try everything to kick them out of the parental home and get her life back on track!",49.101,43,5.1,fr,comedy,51
Tinker Bell and the Legend of the NeverBeast,"an ancient myth of a massive creature sparks the curiosity of tinker bell and her good friend fawn, an animal fairy who’s not afraid to break the rules to help an animal in need. but this creature is not welcome in pixie hollow — and the scout fairies are determined to capture the mysterious beast, who they fear will destroy their home. fawn must convince her fairy friends to risk everything to rescue the neverbeast.",49.075,761,7.1,en,adventure,7
The Texas Chainsaw Massacre 2,"chainsaw-wielding maniac leatherface is up to his cannibalistic ways once again, along with the rest of his twisted clan, including the equally disturbed chop-top. this time, the masked killer has set his sights on pretty disc jockey vanita ""stretch"" brock, who teams up with texas lawman lefty enright to battle the psychopath and his family deep within their lair, a macabre abandoned amusement park.",49.066,585,5.6,en,comedy,11
Mermaid Down,"a mermaid is ripped from the pacific, her tail is chopped off and she's thrown into a mental home where no one believes she is a mermaid.",49.057,229,6.7,en,horror,0
Crystal Skulls,a millionaire philanthropist collects the famous chrystal skulls trying to tap into their ancient powers. it is up to a team lead by a college professor whose father disappeared searching for the 13th skull to save the world when the first 12 skulls are united and reek havoc on the earth without the control of the 13th skull.,49.02,20,4.8,en,adventure,7
Crazy About Her,"after a magical night together, adri voluntarily turns himself into the psychiatric institution where carla lives.",48.978,363,7.2,es,comedy,17
"The Gangster, the Cop, the Devil","after barely surviving a violent attack by an elusive serial killer, crime boss jang dong-su finds himself forming an unlikely partnership with local detective jung tae-seok to catch the sadistic killer simply known as k.",48.978,497,7.7,ko,crime,43
The Flintstones,modern stone age family the flintstones hit the big screen in this live-action version of the classic cartoon. fred helps barney adopt a child. barney sees an opportunity to repay him when slate mining tests its employees to find a new executive. but no good deed goes unpunished.,48.973,1953,5.3,en,fantasy,18
London Has Fallen,"in london for the prime minister's funeral, mike banning discovers a plot to assassinate all the attending world leaders.",48.967,3894,6.1,en,action,6
Rurouni Kenshin Part I: Origins,"former legendary assassin kenshin himura has now become a wandering samurai. offering aid & protecting those in need as atonement for his past deeds. during this time kenshin himura comes across and aides kaoru kamiya (emi takei). her father opened the kamiya kasshin-ryu, a kendo school located in tokyo and kaoru is now an instructor there. kaoru then invites kenshin to stay at her dojo. their relationship develops further, but kenshin is still haunted by his violent past...",48.966,571,7.6,ja,adventure,15
Saw 3D,"as a deadly battle rages over jigsaw's brutal legacy, a group of jigsaw survivors gathers to seek the support of self-help guru and fellow survivor bobby dagen, a man whose own dark secrets unleash a new wave of terror.",48.956,2303,6.0,en,horror,0
King Arthur: Legend of the Sword,"when the child arthur’s father is murdered, vortigern, arthur’s uncle, seizes the crown. robbed of his birthright and with no idea who he truly is, arthur comes up the hard way in the back alleys of the city. but once he pulls the sword excalibur from the stone, his life is turned upside down and he is forced to acknowledge his true legacy... whether he likes it or not.",48.942,4799,6.5,en,action,6
Initiation,"during a whiton university's pledge week, the carefree partying turns deadly when brutal murders start befalling the students, sending ellery scott into a race against time to uncover the truth behind the school's dark secrets and the horrifying meaning of a recurring symbol: a single exclamation mark.",48.939,72,5.7,en,horror,0
The Christmas Chronicles: Part Two,"kate pierce is reluctantly spending christmas with her mom’s new boyfriend and his son jack. but when the north pole and christmas are threatened to be destroyed, kate and jack are unexpectedly pulled into a new adventure with santa claus.",48.904,749,6.6,en,family,10
Men in Black: International,"the men in black have always protected the earth from the scum of the universe. in this new adventure, they tackle their biggest, most global threat to date: a mole in the men in black organization.",48.89,3839,6.0,en,comedy,11
American Psycho,"a wealthy new york investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies.",48.874,7608,7.4,en,thriller,8
Justice League Dark: Apokolips War,"earth is decimated after intergalactic tyrant darkseid has devastated the justice league in a poorly executed war by the dc super heroes. now the remaining bastions of good – the justice league, teen titans, suicide squad and assorted others – must regroup, strategize and take the war to darkseid in order to save the planet and its surviving inhabitants.",48.866,1134,8.4,en,animation,5
I Spit on Your Grave 2,"naturally beautiful, katie has just settled into new york where she, like many other young women, is trying to make it as a model. but what starts out as an innocent and simple photo shoot soon turns into something disturbingly unthinkable! raped, tortured and kidnapped to a foreign country, jessica is buried alive and left to die. against all odds, she manages to escape. severely injured, she will have to tap into the darkest places of the human psyche to not only survive, but to exact her revenge…",48.865,981,6.3,en,thriller,8
Hole in One,"eric, a highly-gifted golfer but radically-undisciplined college undergrad, finds his world drastically altered after losing a golf bet to a pair of sadistic plastic surgeons. eric's bad-boy attitude lifestyle comes to a screeching halt as he loses his money, his girlfriend, his dignity and his golf swing. eric and his best friend tyler decide to take on the doctors, in a final golf match of ""best-ball"" to get his life back and become the man he should have been all along.",48.844,80,4.1,en,comedy,11
A Babysitter's Guide to Monster Hunting,"recruited by a secret society of babysitters, a high schooler battles the boogeyman and his monsters when they nab the boy she's watching on halloween.",48.823,232,6.2,en,family,10
Insidious: Chapter 2,the haunted lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.,48.789,3337,6.7,en,horror,0
Into the White,"based on a true story. on 27 april 1940, luftwaffe pilot horst schopis' heinkel 111 bomber is shot down near grotli by an raf blackburn skua l2940 fighter, which then crash-lands. the surviving german and english crew members begin to at shoot each other, but later find themselves huddled up in the same cabin. in order to survive the harsh winter in the norwegian wilderness, they have to stand together. an unlikely, lifelong friendship blossoms.",48.761,232,6.9,no,war,-1
Ladybug & Cat Noir: Awakening,parisian teenagers marinette dupain-chang and adrien agreste become vigilante heroes ladybug and cat noir.,48.706,0,0.0,en,action,28
Artemis Fowl,artemis fowl is a 12-year-old genius and descendant of a long line of criminal masterminds. he soon finds himself in an epic battle against a race of powerful underground fairies who may be behind his father's disappearance.,48.688,1331,5.7,en,adventure,7
Bad Boys II,"out-of-control, trash-talking buddy cops marcus burnett and mike lowrey of the miami narcotics task force reunite, and bullets fly, cars crash and laughs explode as they pursue a whacked-out drug lord from the streets of miami to the barrios of cuba. but the real fireworks result when marcus discovers that playboy mike is secretly romancing marcus’ sexy sister.",48.663,4370,6.6,en,adventure,7
Cult of Chucky,"confined to an asylum for the criminally insane, nica pierce is convinced that she, not chucky, murdered her entire family. but when the psychiatrist introduces a new therapeutic ""good guy"" doll with a familiar face, a string of new, grisly deaths leads nica to wonder if she isn't crazy after all.",48.662,879,5.8,en,horror,0
The Change-Up,"dave is a married man with two kids and a loving wife, and mitch is a single man who is at the prime of his sexual life. one fateful night while mitch and dave are peeing in a fountain when lightning strikes, they switch bodies.",48.661,2218,6.1,en,comedy,11
The Godfather: Part III,"in the midst of trying to legitimize his business dealings in 1979 new york and italy, aging mafia don, michael corleone seeks forgiveness for his sins while taking a young protege under his wing.",48.643,4777,7.4,en,crime,14
Life of Pi,"the story of an indian boy named pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a bengal tiger after a shipwreck sets them adrift in the pacific ocean.",48.613,11391,7.4,en,adventure,7
In the Name of the King 2: Two Worlds,"granger, an ex-special forces soldier gets thrown back to medieval times to fulfill an ancient prophecy. venturing through the now war torn kingdom of ehb, he teams up with an unlikely band of allies with the goal of slaying the leader of the ""dark ones"". fighting against all odds, they must free the land from the grasp of the evil tyrant raven and save the world.",48.607,98,3.9,en,adventure,7
Full Metal Jacket,a pragmatic u.s. marine observes the dehumanizing effects the u.s.-vietnam war has on his fellow recruits from their brutal boot camp training to the bloody street fighting in hue.,48.573,8349,8.1,en,drama,9
Justice League vs. Teen Titans,robin is sent by batman to work with the teen titans after his volatile behavior botches up a justice league mission. the titans must then step up to face trigon after he possesses the league and threatens to conquer the world.,48.531,684,7.4,en,science fiction,12
Street Gang: How We Got to Sesame Street,"take a stroll down sesame street and witness the birth of the most influential children's show in television history. from the iconic furry characters to the classic songs you know by heart, learn how a gang of visionary creators changed the world.",48.486,13,6.7,en,documentary,16
Facing the Giants,a losing coach with an underdog football team faces their giants of fear and failure on and off the field to surprising results.,48.469,302,7.5,en,drama,9
Woody Woodpecker,woody woodpecker enters a turf war with a big city lawyer wanting to tear down his home in an effort to build a house to flip.,48.365,576,6.7,en,comedy,11
Jojo Rabbit,"a world war ii satire that follows a lonely german boy whose world view is turned upside down when he discovers his single mother is hiding a young jewish girl in their attic. aided only by his idiotic imaginary friend, adolf hitler, jojo must confront his blind nationalism.",48.361,7159,8.1,en,comedy,11
Black Box,"after losing his wife and his memory in a car accident, a single father undergoes an experimental treatment that causes him to question who he really is.",48.319,369,6.5,en,horror,0
Tooth Fairy,"when minor-league hockey player derek thompson -- who has a penchant for knocking out his opponents' teeth every time he plays -- disillusions a fan, he is sentenced to a stint for one week as a bona fide, tutu-clad, real-life tooth fairy. soon, derek is inspired to rekindle his youthful dreams.",48.314,1657,5.5,en,comedy,11
Finding Dory,dory is reunited with her friends nemo and marlin in the search for answers about her past. what can she remember? who are her parents? and where did she learn to speak whale?,48.31,10448,7.0,en,adventure,7
Alvin and the Chipmunks: The Road Chip,"through a series of misunderstandings, alvin, simon and theodore come to believe that dave is going to propose to his new girlfriend in new york city - and dump them. they have three days to get to him and stop the proposal.",48.286,1342,6.0,en,adventure,7
Daisy Quokka: World’s Scariest Animal,"when an unbearably adorable, eternally optimistic quokka named daisy wants to achieve the impossible – to win the annual ‘world’s scariest animal’ championship, she enlists the guidance of a washed-up, former champion, a grouchy saltwater crocodile, to help her achieve her dreams and prove that champions can come in all sizes.",48.282,52,6.9,en,animation,5
The Fox and the Hound,"when a feisty little fox named tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named copper. life is full of hilarious adventures until copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!",48.282,2628,7.1,en,adventure,7
Bright: Samurai Soul,"izo, a ronin, and raiden, an orc, work to bring a young elf girl and the wand she carries to the land of the elves in the north.",48.275,34,6.0,ja,animation,3
Batman,the dynamic duo faces four super-villains who plan to hold the world for ransom with the help of a secret invention that instantly dehydrates people.,48.251,625,6.3,en,family,10
The Mummy: Tomb of the Dragon Emperor,"archaeologist rick o'connell travels to china, pitting him against an emperor from the 2,000-year-old han dynasty who's returned from the dead to pursue a quest for world domination. this time, o'connell enlists the help of his wife and son to quash the so-called 'dragon emperor' and his abuse of supernatural power.",48.244,3630,5.4,en,adventure,7
Dead Silence,"jamie returns to his hometown in search of answers to his wife's murder, which occurred after receiving a weird package containing a ventriloquist dummy named billy, which may be linked to the legend of ventriloquist mary shaw. destined to find out the truth, jamie goes to the town of raven's fair, where shaw used to perform and is buried. but jamie is in for more than he expected.",48.242,1765,6.4,en,horror,0
8-Bit Christmas,"in suburban chicago during the late 1980s, ten-year-old jake doyle embarks on a herculean quest to get the latest and greatest video game system for christmas.",48.223,200,6.5,en,family,10
The Mitchells vs. the Machines,"a quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",48.151,1746,8.0,en,animation,5
Dragonheart 3: The Sorcerer's Curse,"when aspiring knight gareth goes in search of a fallen comet rumored to contain gold, he is shocked to instead find the dragon drago. after drago saves gareth's life the two become intricately bonded, and must work together to defeat an evil sorcerer and stop his reign of terror. along the way, gareth learns the true meaning of being a knight in this fantasy action-adventure for the ages.",48.137,200,5.4,en,fantasy,18
The Pursuit of Happyness,a struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,48.114,8072,7.9,en,drama,9
Mission: Impossible - Rogue Nation,"ethan and team take on their most impossible mission yet—eradicating 'the syndicate', an international and highly-skilled rogue organisation committed to destroying the imf.",48.086,7178,7.2,en,action,6
A Nightmare on Elm Street,"teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. a cop's daughter, nancy thompson, traces the cause to child molester fred krueger, who was burned alive by angry parents many years before. krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. nancy and her boyfriend, glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",48.07,3877,7.3,en,horror,0
Killer Elite,"based on a shocking true story, killer elite pits two of the world’s most elite operatives—danny, an ex-special ops agent and hunter, his longtime mentor—against the cunning leader of a secret military society. covering the globe from australia to paris, london and the middle east, danny and hunter are plunged into a highly dangerous game of cat and mouse—where the predators become the prey.",48.05,1700,6.3,en,action,6
King Kong,"in 1933 new york, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island, where they encounter kong, a giant ape who is immediately smitten with the leading lady.",48.041,6463,6.8,en,adventure,7
300,"based on frank miller's graphic novel, ""300"" is very loosely based the 480 b.c. battle of thermopylae, where the king of sparta led his army against the advancing persians; the battle is said to have inspired all of greece to band together against the persians, and helped usher in the world's first democracy.",47.962,11481,7.2,en,action,6
Drive My Car,"yusuke kafuku, a stage actor and director, still unable, after two years, to cope with the loss of his beloved wife, accepts to direct uncle vanja at a theater festival in hiroshima. there he meets misaki, an introverted young woman, appointed to drive his car. in between rides, secrets from the past and heartfelt confessions will be unveiled.",47.942,290,7.6,ja,drama,37
Superman,"mild-mannered clark kent works as a reporter at the daily planet alongside his crush, lois lane. clark must summon his superhero alter-ego when the nefarious lex luthor launches a plan to take over the world.",47.937,2950,7.1,en,science fiction,12
Star Wars: Episode II - Attack of the Clones,"following an assassination attempt on senator padmé amidala, jedi knights anakin skywalker and obi-wan kenobi investigate a mysterious plot that could change the galaxy forever.",47.917,10781,6.5,en,adventure,-1
Home Alone 3,"9-year-old alex pruitt is home alone with the chicken pox. turns out, due to a mix-up among nefarious spies, alex was given a toy car concealing a top-secret microchip. now alex must fend off the spies as they try to break into his house to get it back.",47.907,2402,5.3,en,comedy,11
No Good Deed,"terri is a devoted wife and mother of two, living an ideal suburban life in atlanta when colin, a charming but dangerous escaped convict, shows up at her door claiming car trouble. terri offers her phone to help him but soon learns that no good deed goes unpunished as she finds herself fighting for survival when he invades her home and terrorizes her family.",47.905,524,6.0,en,crime,14
We Broke Up,lori and doug break up right before lori's sister's wedding and decide to pretend they're still together for the weekend as to not disrupt the fun.,47.816,20,6.1,en,comedy,11
Barbie in A Mermaid Tale,"barbie stars as merliah, a surfer who learns a shocking secret: she's a mermaid! she and her dolphin friend set out for an undersea adventure to rescue her mother, the queen of oceana.",47.799,573,7.2,en,animation,5
The Day,"open war against humanity rages. for five survivors – lost and on the run – the pursuit is relentless, the bullets are dwindling and the battle is everywhere. this is a 24-hour look into their lives.",47.777,193,5.1,en,action,6
Predator 2,a police chief in the war-torn streets of los angeles discovers that an extraterrestrial creature is hunting down residents - and that he is the next target.,47.765,2291,6.2,en,science fiction,12
Tomorrowland,"bound by a shared destiny, a bright, optimistic teen bursting with scientific curiosity and a former boy-genius inventor jaded by disillusionment embark on a danger-filled mission to unearth the secrets of an enigmatic place somewhere in time and space that exists in their collective memory as ""tomorrowland.""",47.761,6056,6.2,en,adventure,7
Addams Family Values,"siblings wednesday and pugsley addams will stop at nothing to get rid of pubert, the new baby boy adored by parents gomez and morticia. things go from bad to worse when the new ""black widow"" nanny, debbie jellinsky, launches her plan to add fester to her collection of dead husbands.",47.707,2242,6.9,en,comedy,11
Don't Blame the Kid,"after a one-night stand results in pregnancy, a young woman decides to become partners with the emotionally immature father-to-be.",47.705,509,7.7,es,comedy,17
The Empire of Corpses,"the story of the empire of corpses takes place in 19th century europe, and revolves around john watson. he is scouted by the government to become a secret agent- however, watson lives in a world where ""frankensteins""- human corpses that are re-purposed with a false soul in order to use them as laborers- are used to improve industrial development.",47.691,70,6.1,ja,animation,3
Star Trek Into Darkness,"when the crew of the enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  with a personal score to settle, captain kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. as our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family kirk has left: his crew.",47.689,7899,7.3,en,action,6
The Walking Dead: The Journey So Far,"this two-hour retrospective in which the entire cast will tell the stories of their characters from the moment they were introduced through to where they were left at the end of the last episode of season 7. beautifully shot interviews of the cast and the eps are punctuated by clips of the most crucial moments in the series.  if someone has never seen a moment of the walking dead before, this special will catch them up on the plot, characters, locations, and unique terminology of the series leading up to season 8.",47.665,12,7.1,en,documentary,16
Pandemic,"after a virus of epic proportions overwhelms the planet—with more infected than uninfected—humanity is losing its grip on survival and its only hope is finding a cure and keeping the infected contained. lauren, a doctor, arrives in los angeles with her crack team to lead the hunt for uncontaminated civilian survivors, but nothing can prepare them for the blood-soaked mayhem they witness as they head into the californian streets where everything is considered a trap.",47.651,260,5.0,en,action,6
The Hills Have Eyes,"based on wes craven's 1977 suspenseful cult classic, the hills have eyes is the story of a family road trip that goes terrifyingly awry when the travelers become stranded in a government atomic zone. miles from nowhere, the carter family soon realizes the seemingly uninhabited wasteland is actually the breeding ground of a blood-thirsty mutant family...and they are the prey.",47.613,2289,6.4,en,horror,0
Operation Merry Christmas: The Elf Con,"the plan of three small-time pickpockets to pull the heist of their lives during christmas, posing as elves in a christmas show in one of the most exclusive shopping centers in the city where they will collect private information from some wealthy families, then rob their homes while they enjoy their december vacation.",47.598,28,7.0,es,comedy,17
Edward Scissorhands,a small suburban town receives a visit from a castaway unfinished science experiment named edward.,47.581,10715,7.7,en,fantasy,-1
